"","county","village","survey","rdtPos","microPos","rdtTests","microTests"
"154",3,"21",2,10,7,26,26
"155",3,"21",3,3,2,17,17
"156",3,"21",4,0,0,18,16
"157",3,"22",1,12,7,23,23
"158",3,"22",2,3,2,15,15
"159",3,"22",3,7,4,26,26
"160",3,"22",4,4,0,13,13
"161",3,"23",1,17,8,40,38
"162",3,"23",2,2,1,16,15
"163",3,"23",3,2,1,21,20
"164",3,"23",4,3,1,18,18
"165",3,"24",1,1,1,13,13
"166",3,"24",2,2,1,21,18
"167",3,"24",3,1,3,23,22
"168",3,"24",4,1,1,17,16
"169",3,"25",1,3,0,8,8
"170",3,"25",2,5,3,15,15
"171",3,"25",3,1,0,10,10
"172",3,"25",4,3,0,13,13
"173",3,"26",1,34,23,66,64
"174",3,"26",2,7,1,24,24
"175",3,"26",3,2,0,29,25
"176",3,"26",4,5,3,22,22
"177",3,"27",1,2,6,23,17
"178",3,"27",2,5,1,21,21
"179",3,"27",3,2,1,22,22
"180",3,"27",4,2,0,17,17
"181",3,"28",1,12,7,34,34
"182",3,"28",2,16,5,46,17
"183",3,"28",3,8,2,37,36
"184",3,"28",4,6,2,32,32
"185",3,"29",1,8,3,28,28
"186",3,"29",2,2,2,28,8
"187",3,"29",3,0,0,26,24
"188",3,"29",4,1,2,32,31
"189",3,"30",1,1,0,17,17
"190",3,"30",2,6,4,52,48
"191",3,"30",3,1,1,24,23
"192",3,"30",4,1,1,15,15
"193",3,"31",1,9,7,28,28
"194",3,"31",2,2,1,10,8
"195",3,"31",3,0,0,17,12
"196",3,"31",4,0,0,16,16
"197",3,"32",1,15,6,27,27
"198",3,"32",2,2,0,13,11
"199",3,"32",3,2,2,13,13
"200",3,"32",4,7,5,15,15
"201",3,"33",1,11,10,23,23
"202",3,"33",2,4,0,23,23
"203",3,"33",3,1,0,21,19
"204",3,"33",4,0,0,11,11
"205",3,"34",1,4,3,13,13
"206",3,"34",2,8,5,24,24
"207",3,"34",3,5,4,15,13
"208",3,"34",4,1,0,18,13
"209",3,"35",1,4,1,15,15
"210",3,"35",2,2,0,14,8
